type chaussures,prix,adresse,image_lien
Chaussures  homme,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5661669_uploaded_image1_1765194788.jpg
Chaussures  homme,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5661667_uploaded_image1_1765194718.jpg
Chaussures hommes,15 000CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5659092_uploaded_image1_1765032622.jpg
Chaussures Berluti,15 000CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5659090_uploaded_image1_1765032457.jpg
Chaussures  homme,12 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5658676_uploaded_image1_1765012272.jpg
Baskets Nike Air Max 95,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5609154_uploaded_image1_1762451266.jpg
Baskets Nike,12 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5656286_uploaded_image1_1764873140.jpg
Chaussures homme ,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5656226_uploaded_image1_1764870869.jpg
Chaussures homme,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5654964_uploaded_image1_1764815249.jpg
Chaussures  homme,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5654962_uploaded_image1_1764815112.jpg
Chaussures homme,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5654945_uploaded_image1_1764813406.jpg
Baskets Nocta,25 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5653847_uploaded_image1_1764763835.jpg
Chaussures Louis Vuitton,25 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5653840_uploaded_image1_1764763564.jpg
Chaussures Friperie,4 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5647291_uploaded_image1_1764432742.jpg
Chaussures avec chapeau ,8 000CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5646405_uploaded_image1_1764371847.jpg
Chaussures avec chapeau ,8 000CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5646401_uploaded_image1_1764371645.jpg
Chaussures  homme,10 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5642098_uploaded_image1_1764157446.jpg
Chaussures  homme,10 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5640323_uploaded_image1_1764078277.jpg
Chaussures  homme,12 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5640318_uploaded_image1_1764078147.jpg
Chaussures  homme,15 000CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5640260_uploaded_image1_1764076783.jpg
Chaussures  homme,15 000CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5640258_uploaded_image1_1764076664.jpg
Chaussures  homme,25 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5640219_uploaded_image1_1764075154.jpg
Chaussures homme ,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5637204_uploaded_image1_1763926350.jpg
Baskets Asics,12 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5630752_uploaded_image1_1763589625.jpg
Chaussures en daim Zara,25 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5630025_uploaded_image1_1763560555.jpg
Sandales homme,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5627951_uploaded_image1_1763472221.jpg
Chaussures  homme,15 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5625915_uploaded_image1_1763379573.jpg
Chaussures en cuir pour homme,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5624803_uploaded_image1_1763314804.jpg
Chaussures  homme,12 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5623102_uploaded_image1_1763203756.jpg
Chaussures Hugo Boss,25 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5622144_uploaded_image1_1763141369.jpg
Chaussures homme ,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5621182_uploaded_image1_1763077582.jpg
Babouches  homme,10 000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5619673_uploaded_image1_1763023060.jpg
Tapettes homme  ,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5618783_uploaded_image1_1762964858.jpg
Babouches  homme,18 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5618775_uploaded_image1_1762964709.jpg
Babouches  homme,10 000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5618698_uploaded_image1_1762962167.jpg
Balenciaga ,25 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5618425_uploaded_image1_1762956121.jpg
Babouches  homme,10 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5616251_uploaded_image1_1762866056.jpg
Babouches  homme,10 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5616009_uploaded_image1_1762860359.jpg
Baskets Nike,25 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5613411_uploaded_image1_1762726719.jpg
Sandale Orthopédique Birkenstock,29 500CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5569336_uploaded_image1_1760194310.jpg
Chaussures en cuir,16 000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5610456_uploaded_image1_1762521928.jpg
Sneakers homme,15 000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5610449_uploaded_image1_1762521706.jpg
Chaussures  homme,6 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5610109_uploaded_image1_1762509011.jpg
Chaussures hommes ,25 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5609232_uploaded_image1_1762455930.jpg
Chaussures homme,25 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5609229_uploaded_image1_1762455773.jpg
Chaussures homme ,13 500CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5608889_uploaded_image1_1762441070.jpg
Chaussures  homme,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5608405_uploaded_image1_1762426274.jpg
Chaussures  homme,1 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5608086_uploaded_image1_1762416663.jpg
Sandales Alexandre MC Queen,5 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5607540_uploaded_image1_1762380090.jpg
